ServiceNo,Direction,Operator,n_stops,route_distance_km,wd_first_min,wd_last_min,wd_service_span_min,unique_stops,Category,OriginCode,DestinationCode,avg_wd_headway_min,one_way_trip_time_min,baseline_daily_trips,offered_stop_visits_per_day,complexity_score,bottleneck_score,throughput_intensity
23,1,SBST,44,31.9,330.0,1440.0,1130.0,39,TRUNK,75009,75009,8.625,121.73333333333332,131.0144927536232,5764.63768115942,0.8946056309273698,0.42311212219815186,47.35463593504453
980,1,SMRT,64,25.4,355.0,1440.0,1055.0,64,TRUNK,58009,80009,15.375,107.06666666666666,68.6178861788618,4391.544715447155,0.8905210937576545,0.7001505737695203,41.016918263827726
12,2,GAS,63,25.7,345.0,1440.0,1123.0,63,TRUNK,10499,77009,11.125,107.71666666666667,100.9438202247191,6359.460674157303,0.8892802916473923,0.5316458158603468,59.03878082151295
970,2,SMRT,66,24.7,360.0,1440.0,1067.0,65,TRUNK,3239,45009,12.5,105.43333333333332,85.36,5633.76,0.8872225821031869,0.5864355923592959,53.43433449257035
21,2,SBST,65,25.0,330.0,1440.0,1128.0,65,TRUNK,52499,77009,11.5,106.08333333333333,98.08695652173913,6375.652173913043,0.8859817799929248,0.5455641077378441,60.10041326548038
518A,1,GAS,41,32.6,420.0,539.0,30.0,38,EXPRESS,77009,3519,30.0,123.01666666666667,1.0,41.0,0.8793229928465993,1.2497311365486172,0.333288172334372
65,1,SBST,64,25.2,330.0,1440.0,1080.0,64,TRUNK,75009,14009,11.125,106.4,97.07865168539325,6213.033707865168,0.8789608620076705,0.5252294426424855,58.3931739461012
33,1,SBST,64,25.2,340.0,1440.0,1100.0,64,TRUNK,84009,16009,12.875,106.4,85.4368932038835,5467.961165048544,0.8789608620076705,0.593955051335874,51.39061245346376
175,2,SBST,65,24.8,360.0,1440.0,1087.0,62,TRUNK,80009,17009,15.375,105.41666666666667,70.69918699186992,4595.447154471545,0.8744215482429409,0.6897261598301134,43.59317458787236
13,2,SBST,65,24.7,330.0,1440.0,1076.0,65,TRUNK,94009,55509,11.75,105.08333333333333,91.57446808510639,5952.340425531916,0.8686414323679489,0.5433579296722627,56.6440008773854
963,2,SMRT,51,29.2,360.0,1440.0,1079.0,49,TRUNK,14009,46009,9.625,115.18333333333332,112.1038961038961,5717.298701298701,0.8686105504492535,0.44953361184170937,49.63651021240372
75,2,SMRT,62,25.6,360.0,1440.0,1080.0,61,TRUNK,2099,481,11.5,107.03333333333335,93.91304347826087,5822.608695652174,0.8649190260371623,0.5287408608975178,54.39995667068365
13,1,SBST,64,24.9,335.0,1440.0,1075.0,64,TRUNK,55509,94009,11.875,105.4,90.52631578947368,5793.684210526316,0.8616205143826945,0.5426591527750151,54.968540896834114
855,2,SMRT,59,26.4,335.0,1440.0,1080.0,59,TRUNK,14009,59009,12.375,108.65,87.27272727272727,5149.090909090909,0.8554165038313833,0.5542964998469766,47.39154081077689
156,2,SBST,60,26.0,330.0,1439.0,1087.0,60,TRUNK,17009,67009,13.375,107.66666666666667,81.27102803738318,4876.261682242991,0.8508771900666536,0.591159943746883,45.29035618182344
105,2,SBST,58,25.8,345.0,1440.0,1126.0,57,TRUNK,28009,66009,11.75,106.3,95.82978723404256,5558.127659574468,0.8021546588461933,0.4920795648801972,52.28718400352275
105,1,SBST,56,26.4,345.0,1440.0,1145.0,56,TRUNK,66009,28009,11.625,107.6,98.49462365591398,5515.698924731183,0.7996730546256688,0.4839711763802097,51.261142423152265
65,2,SBST,62,24.4,330.0,1440.0,1114.0,62,TRUNK,14009,75009,10.375,103.03333333333333,107.37349397590361,6657.156626506024,0.7955576355372582,0.43646362379322023,64.61167867847969
855,1,SMRT,56,26.3,335.0,1440.0,1075.0,56,TRUNK,59009,14009,12.625,107.26666666666667,85.14851485148515,4768.316831683168,0.7938929387506768,0.5192349120548861,44.452922607363284
157,1,SBST,58,25.6,310.0,1440.0,1153.0,58,TRUNK,52009,22009,11.0,105.63333333333334,104.81818181818181,6079.454545454545,0.7905944270962094,0.45460965113993956,57.5524254855274
980,2,SMRT,61,24.6,340.0,1440.0,1088.0,61,TRUNK,80009,58009,15.625,103.35,69.632,4247.552000000001,0.788536717552004,0.6370327009266104,41.09871311078859
NR8,1,SMRT,61,24.6,,,,56,NIGHT RIDER,2099,43609,29.0,103.35,85.54455445544555,5218.217821782178,0.788536717552004,1.1622927102260803,50.49073847878257
33,2,SBST,56,26.0,350.0,1440.0,1105.0,56,TRUNK,16009,84009,11.625,106.26666666666667,95.05376344086021,5323.010752688172,0.7765525911257007,0.4679390134940272,50.091067308859834
165,1,SBST,60,24.7,320.0,1440.0,1118.0,60,TRUNK,64009,17009,12.375,103.33333333333333,90.34343434343434,5420.60606060606,0.7757356836917577,0.49978363797056763,52.4574780058651
43,2,GAS,63,23.7,325.0,1439.0,1104.0,62,TRUNK,94009,65009,14.125,101.05,78.15929203539822,4924.0353982300885,0.7736779741475525,0.5693003306181003,48.72870260494892
502A,1,SBST,39,31.3,436.0,564.0,40.0,32,EXPRESS,22609,3529,20.0,117.98333333333335,2.0,78.0,0.7670191870012271,0.7776611824265703,0.6611103263172764
43,1,GAS,62,23.6,345.0,1439.0,1091.0,62,TRUNK,65009,94009,12.75,100.36666666666667,85.56862745098039,5305.254901960784,0.7493167085373225,0.4976697669618827,52.858733662844074
59,2,SBST,52,26.8,345.0,1440.0,1076.0,50,TRUNK,99009,53009,13.375,107.53333333333335,80.44859813084112,4183.327102803738,0.7484689191846841,0.514233626400314,38.90260789960078
93,1,SBST,58,24.8,315.0,1440.0,1142.0,58,TRUNK,14009,82009,14.25,102.96666666666667,80.14035087719299,4648.140350877193,0.7443535000962733,0.5501785986552961,45.14218534357908
170A,1,SBST,62,23.5,360.0,1440.0,1081.0,62,TRUNK,1109,46069,20.125,100.03333333333333,53.714285714285715,3330.285714285714,0.7435365926623303,0.7832910771624745,33.29175988956062
59,1,SBST,53,26.3,345.0,1440.0,1065.0,51,TRUNK,53009,99009,13.25,106.21666666666667,80.37735849056604,4260.0,0.7381494895449621,0.5029082811329246,40.10670014122078
40,1,SBST,62,23.4,345.0,1440.0,1099.0,61,TRUNK,84009,84009,16.0,99.69999999999999,68.6875,4258.625,0.7377564767873382,0.6172869588065129,42.71439317953862
960,1,SMRT,49,27.5,330.0,1440.0,1101.0,47,TRUNK,46009,2099,10.0,108.81666666666666,110.1,5394.9,0.7331862811039133,0.3688761749442835,49.577883289937205
78,1,TTS,57,24.9,330.0,94.0,1192.0,56,TRUNK,28009,28009,9.5,102.95,125.47368421052632,7152.0,0.7315524662360271,0.35402187110492034,69.47061680427392
75,1,SMRT,58,24.5,325.0,1440.0,1085.0,58,TRUNK,481,2089,11.125,101.96666666666667,97.52808988764045,5656.629213483146,0.7270131524712973,0.41543017525246534,55.475278327719636
